,27.7200,27.8200,27.3800,28.0500
港幣[HKD],3.538,3.598,3.408,3.614
英鎊[GBP],37.12,37.52,36.09,38.23
日圓[JPY],0.2413,0.2454,0.2341,0.2468
澳幣[AUD],20.32,20.56,20.04,20.83
加拿大幣[CAD],22.13,22.33,21.75,22.66
新加坡幣[SGD],20.45,20.63,19.96,20.85
南非幣[ZAR],1.78,1.88,,
瑞典幣[SEK],3.11,3.21,,
瑞士法郎[CHF],29.98,30.18,29.27,30.46
泰幣[THB],0.829,0.871,0.719,0.909
紐西蘭幣[NZD],19.51,19.71,19.12,19.99
歐元[EUR],31.41,31.81,30.79,32.13
韓幣[KRW],0.0219,0.0255,,
馬來幣[MYR],5.675,7.138,,
印尼幣[IDR],0.0016,0.0023,,
菲律賓幣[PHP],0.514,0.62,,
澳門幣[MOP],3.219,3.601,,
越南幣[VND],0.001,0.0015,,
人民幣[CNY],4.335,4.385,4.265,4.427
